Cases by Sex - All Age Groups
Date generated: Sat Oct 16 2021 21:41:32 GMT-0400 (Eastern Daylight Time)
Sex,Percent of cases,Count of cases,Percent of US population
Female,52.3,18408649,50.75
Male,47.7,16812406,49.25
Other,<0.1,730,N/A
