Deaths by Sex - All Age Groups
Date generated: Sat Oct 16 2021 21:41:34 GMT-0400 (Eastern Daylight Time)
Sex,Percentage of deaths,Count of deaths,Percent of US population
Female,45.6,266190 - 266199,50.75
Male,54.4,317190 - 317199,49.25
Other,<0.1,0 - 9,N/A
